CaseParID1	CaseParID2	lawIDs	CommonCitations
4	3960	IVG	Art. 28 Abs. 1 IVG, Art. 1 Abs. 1 IVG, Art. 28 Abs. 2 IVG
4	4004	IVG	Art. 28 Abs. 1 IVG, Art. 1 Abs. 1 IVG, Art. 28 Abs. 2 IVG
4	4026	ATSG,IVG	Art. 28 Abs. 1 IVG, Art. 1 Abs. 1 IVG, Art. 28 Abs. 2 IVG, Art. 17 Abs. 1 ATSG
4	5028	ATSG,IVG	Art. 28 Abs. 1 IVG, Art. 17 Abs. 1 ATSG
4	5766	ATSG,IVG	Art. 28 Abs. 1 IVG, Art. 1 Abs. 1 IVG, Art. 28 Abs. 2 IVG, Art. 17 Abs. 1 ATSG
4	5771	ATSG,IVG	Art. 28 Abs. 1 IVG, Art. 1 Abs. 1 IVG, Art. 28 Abs. 2 IVG, Art. 17 Abs. 1 ATSG
4	5809	IVG	Art. 28 Abs. 1 IVG, Art. 1 Abs. 1 IVG, Art. 28 Abs. 2 IVG
4	5913	ATSG,IVG	Art. 28 Abs. 1 IVG, Art. 1 Abs. 1 IVG, Art. 28 Abs. 2 IVG, Art. 17 Abs. 1 ATSG
4	6122	IVG	Art. 28 Abs. 1 IVG, Art. 1 Abs. 1 IVG, Art. 28 Abs. 2 IVG
4	1660	IVG	Art. 1 Abs. 1 IVG, Art. 28 Abs. 2 IVG
8	2739	UVG,UVV	Art. 13 Abs. 1 UVV, Art. 7 Abs. 2 UVG
8	2740	UVG,UVV	Art. 7 Abs. 2 UVG, Art. 13 Abs. 2 UVV
11	85	ATSG	Art. 7 ATSG, Art. 8 ATSG
11	319	ATSG	Art. 7 ATSG, Art. 8 ATSG
11	978	ATSG	Art. 7 ATSG, Art. 8 ATSG
11	1114	ATSG	Art. 7 ATSG, Art. 8 ATSG
11	1422	ATSG	Art. 7 ATSG, Art. 8 ATSG
11	2068	ATSG	Art. 7 ATSG, Art. 8 ATSG
11	2095	ATSG	Art. 7 ATSG, Art. 8 ATSG
11	2115	ATSG	Art. 7 ATSG, Art. 8 ATSG
11	2124	ATSG	Art. 7 ATSG, Art. 8 ATSG
11	2477	ATSG	Art. 7 ATSG, Art. 8 ATSG
11	2658	ATSG	Art. 7 ATSG, Art. 8 ATSG
11	2673	ATSG	Art. 7 ATSG, Art. 8 ATSG
11	2833	ATSG	Art. 7 ATSG, Art. 8 ATSG
11	3101	ATSG	Art. 7 ATSG, Art. 8 ATSG
11	3195	ATSG	Art. 7 ATSG, Art. 8 ATSG
11	3206	ATSG	Art. 7 ATSG, Art. 8 ATSG
11	3234	ATSG	Art. 7 ATSG, Art. 8 ATSG
11	3567	ATSG	Art. 7 ATSG, Art. 8 ATSG
11	3754	ATSG	Art. 7 ATSG, Art. 8 ATSG
11	4003	ATSG	Art. 7 ATSG, Art. 8 ATSG
11	4495	ATSG	Art. 7 ATSG, Art. 8 ATSG
11	4835	ATSG	Art. 7 ATSG, Art. 8 ATSG
11	4881	ATSG	Art. 7 ATSG, Art. 8 ATSG
11	4972	ATSG	Art. 7 ATSG, Art. 8 ATSG
11	5072	ATSG	Art. 7 ATSG, Art. 8 ATSG
11	5344	ATSG	Art. 7 ATSG, Art. 8 ATSG
11	5441	ATSG	Art. 7 ATSG, Art. 8 ATSG
11	5595	ATSG	Art. 7 ATSG, Art. 8 ATSG
12	85	ATSG,IVG	Art. 7 ATSG, Art. 28 Abs. 1 IVG
12	563	ATSG	Art. 7 ATSG, Art. 8 Abs. 1 ATSG
12	982	ATSG	Art. 7 ATSG, Art. 8 Abs. 1 ATSG
12	1168	ATSG	Art. 7 ATSG, Art. 8 Abs. 1 ATSG
